text,label
广,B_ORG
西,I_ORG
壮,I_ORG
族,I_ORG
自,I_ORG
治,I_ORG
区,I_ORG
人,I_ORG
民,I_ORG
政,I_ORG
府,I_ORG
关,O
于,O
同,O
意,O
广,B_LOC
西,I_LOC
那,I_LOC
林,I_LOC
自,I_LOC
治,I_LOC
区,I_LOC
级,I_LOC
自,I_LOC
然,I_LOC
保,I_LOC
护,I_LOC
区,I_LOC
面,O
积,O
和,O
界,O
线,O
确,O
定,O
方,O
案,O
的,O
批,O
复,O
(,O
桂,O
政,O
函,O
〔,O
2,B_T
0,I_T
1,I_T
9,I_T
〕,O
5,O
3,O
号,O
),O
自,B_ORG
治,I_ORG
区,I_ORG
林,I_ORG
业,I_ORG
局,I_ORG
：,O
你,O
局,O
（,O
原,O
自,B_ORG
治,I_ORG
区,I_ORG
林,I_ORG
业,I_ORG
厅,I_ORG
）,O
关,O
于,O
广,B_LOC
西,I_LOC
那,I_LOC
林,I_LOC
自,I_LOC
治,I_LOC
区,I_LOC
级,I_LOC
自,I_LOC
然,I_LOC
保,I_LOC
护,I_LOC
区,I_LOC
面,O
积,O
和,O
界,O
线,O
确,O
定,O
方,O
案,O
的,O
请,O
示,O
收,O
悉,O
。,O
现,O
批,O
复,O
如,O
下,O
：,O
一,O
、,O
同,O
意,O
广,B_LOC
西,I_LOC
那,O
林,O
自,O
治,O
区,O
级,O
自,O
然,O
保,O
护,O
区,O
（,O
以,O
下,O
简,O
称,O
保,O
护,O
区,O
）,O
面,O
积,O
和,O
界,O
线,O
确,O
定,O
方,O
案,O
（,O
以,O
下,O
简,O
称,O
方,O
案,O
）,O
。,O
保,O
护,O
区,O
涉,O
及,O
博,B_LOC
白,I_LOC
县,I_LOC
那,B_LOC
林,I_LOC
镇,I_LOC
和,O
国,O
有,O
博,O
白,O
林,O
场,O
，,O
总,O
面,O
积,O
1,O
6,O
0,O
1,O
2,O
公,O
顷,O
。,O
保,O
护,O
区,O
地,O
理,O
位,O
置,O
、,O
面,O
积,O
和,O
四,O
至,O
界,O
线,O
描,O
述,O
详,O
见,O
《,O
广,B_LOC
西,I_LOC
那,O
林,O
自,O
